ID_station;station_name;month;value;type
15033;Place Violet;Janvier;1843;departure
15034;Lakanal - Commerce;Janvier;2135;departure
15035;Place Etienne Pernet;Janvier;2346;departure
15036;Croix Nivert - Square Saint-Lambert;Janvier;1849;departure
15038;Place Adolphe Cherioux - Vaugirard;Janvier;3838;departure
15039;Abbé Groult - Convention;Janvier;589;departure
15040;Saint-Amand - Labrouste;Janvier;2288;departure
15041;Franquet - Labrouste;Janvier;1450;departure
15042;Henry Farman;Janvier;354;departure
15043;Brancion - Lefebvre;Janvier;1560;departure
15044;Dantzig - Lefebvre;Janvier;1283;departure
15045;Porte de la Plaine;Janvier;580;departure
15046;Parc Georges Brassens - Brancion;Janvier;1670;departure
15047;Morillons - Dantzig;Janvier;1096;departure
15049;Porte de Versailles;Janvier;1315;departure
15050;Dominique Pado - Croix Nivert;Janvier;1294;departure
15052;Convention - Vaugirard;Janvier;4741;departure
15053;Lecourbe - Convention;Janvier;2552;departure
15054;Lecourbe - Jean Maridor;Janvier;1445;departure
15055;Vasco de Gama;Janvier;2123;departure
15056;Place Balard;Janvier;1560;departure
15057;Lucien Bossoutrot - Général Martial Vallin;Janvier;1150;departure
15058;Place du Moulin de Javel;Janvier;925;departure
15059;Parc André Citroën;Janvier;1187;departure
15060;Place de la Montagne du Goulet;Janvier;1370;departure
15061;Square Desnouettes;Janvier;1107;departure
15062;Convention - Lourmel;Janvier;1805;departure
15063;Convention - Saint-Charles;Janvier;1910;departure
15064;Javel - André Citroën;Janvier;1986;departure
15067;Desaix - Edgar Faure;Janvier;778;departure
15068;Général Martial Valin - Pont du Garigliano;Janvier;829;departure
15069;Félix Faure - Convention;Janvier;2863;departure
15070;Balard - Montagne de la Fage;Janvier;1221;departure
15071;Suffren - Champ de Mars;Janvier;1147;departure
15072;Place Fernand Forest;Janvier;3246;departure
15102;Square Bela Bartok;Janvier;490;departure
15103;Cauchy - Cévennes;Janvier;723;departure
15104;Hôpital Européen Georges Pompidou;Janvier;1624;departure
15105;Fédération - Suffren;Janvier;1148;departure
15106;Grenelle - Violet;Janvier;1985;departure
15107;Palais des Sports;Janvier;602;departure
15108;Lourmel - Marie Skobtsov;Janvier;1926;departure
15109;Cevennes - Bergers;Janvier;2304;departure
15110;Place Robert Guillemard;Janvier;855;departure
15111;Olivier de Serres - Leriche;Janvier;2351;departure
15112;Vigée-Lebrun - Anselme Payen;Janvier;1249;departure
15113;Arsonval - Falguière;Janvier;1181;departure
15114;Pasteur - Cotentin;Janvier;1750;departure
15120;Colonel Pierre Avia;Janvier;810;departure
15122;Place Charles Vallin;Janvier;3216;departure
15123;Commerce - Letellier;Janvier;2761;departure
15125;Parc Suzanne Lenglen;Janvier;2621;departure
15126;Ernest Renan - Parc des Expositions;Janvier;1314;departure
15127;Place Charles Michels;Janvier;3390;departure
15128;Cadix - Hameau;Janvier;1608;departure
15129;Hôpital Necker;Janvier;2157;departure
15131;Charles Lecocq - Lecourbe;Janvier;1552;departure
15132;Bargue -  Dutot;Janvier;1403;departure
15133;Saint Lambert - Blomet;Janvier;1916;departure
15201;Place Amédée Gordini - Lefebvre;Janvier;902;departure
15311;Quai du Président Roosevelt - Pont Aval;Janvier;159;departure
16001;Portugais - Kléber;Janvier;1056;departure
16002;Pergolèse - Malakoff;Janvier;611;departure
16003;André Maurois - Joseph et Marie Hackin;Janvier;654;departure
16004;Université Paris Dauphine;Janvier;1548;departure
16005;Raymond Poincaré - Place Victor Hugo;Janvier;1133;departure
16006;Lauriston - Copernic;Janvier;63;departure
16007;Longchamp - Place d'Iéna;Janvier;1495;departure
16008;Galilée - Kléber;Janvier;1528;departure
16009;Saint-Didier - Raymond Poincaré;Janvier;838;departure
